"99999999","1A105000000166252","尿沈渣－白血球","3","64","2","ST",NULL,"1","0",NULL,NULL,NULL,NULL,"1.2.392.200119.6.1005","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"文字列自由入力(１～３／視野、無数／視野など）","284"
"99999999","1A105000000166253","尿沈渣－上皮細胞","3","64","2","ST",NULL,"1","0",NULL,NULL,NULL,NULL,"1.2.392.200119.6.1005","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"文字列自由入力(１～３／視野、無数／視野など）","285"
"99999999","1A105000000166266","尿沈渣－円柱","3","64","2","ST",NULL,"1","0",NULL,NULL,NULL,NULL,"1.2.392.200119.6.1005","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"文字列自由入力(１～３／視野、無数／視野など）","286"
"99999999","1A105000000166294","尿沈渣－その他","3","64","2","ST",NULL,"1","0",NULL,NULL,NULL,NULL,"1.2.392.200119.6.1005","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"文字列自由入力(１～３／視野、無数／視野など）","287"
"99999999","1B010000001570111","虫卵判定(塗抹)(便)","2","#","2","CD",NULL,"1","0",NULL,NULL,NULL,NULL,"1.2.392.200119.6.1005","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1:陽性、2:陰性","288"
"99999999","1B025000001570111","ぎょう虫卵判定(便)(セロテープ法)","2","#","2","CD",NULL,"1","0",NULL,NULL,NULL,NULL,"1.2.392.200119.6.1005","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1:陽性、2:陰性","289"
"99999999","1B040Z121015Z0111","免疫便潜血反応(1日目)","2","#","2","CD",NULL,"1","0",NULL,NULL,NULL,NULL,"1.2.392.200119.6.1005","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1:陽性、2:陰性","290"
"99999999","1B040Z122015Z0111","免疫便潜血反応(2日目)","2","#","2","CD",NULL,"1","0",NULL,NULL,NULL,NULL,"1.2.392.200119.6.1005","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1:陽性、2:陰性","291"
"99999999","2A090000001930101","好酸球数","1","#####","1","PQ",NULL,"1","0",NULL,NULL,NULL,NULL,"1.2.392.200119.6.1005","0",NULL,NULL,"440","70","440","70",NULL,"個/mm3",NULL,NULL,NULL,"292"
"99999999","2A110000001963202","網赤血球数","1","####","1","PQ",NULL,"1","0",NULL,NULL,NULL,NULL,"1.2.392.200119.6.1005","0",NULL,NULL,"27","2","26","2",NULL,"パーミル",NULL,NULL,NULL,"293"
"99999999","2A160000001960351","血液像－好中球(Neutro)","1","###.#","1","PQ",NULL,"1","0",NULL,NULL,NULL,NULL,"1.2.392.200119.6.1005","0",NULL,NULL,"60","45","60","45",NULL,"%",NULL,NULL,"小数点以下1桁","294"
"99999999","2A160000001960352","血液像－好中球桿状核(Stab)","1","###.#","1","PQ",NULL,"1","0",NULL,NULL,NULL,NULL,"1.2.392.200119.6.1005","0",NULL,NULL,"10","2","10","2",NULL,"%",NULL,NULL,"小数点以下1桁","295"
"99999999","2A160000001960353","血液像－好中球分葉核(Seg)","1","###.#","1","PQ",NULL,"1","0",NULL,NULL,NULL,NULL,"1.2.392.200119.6.1005","0",NULL,NULL,"73","32","73","32",NULL,"%",NULL,NULL,"小数点以下1桁","296"
