"1","1","血圧は正常です","01.05.2010, 00:00:00.000"
"1","2","血圧に異常が認められます","01.05.2010, 00:00:00.000"
"2","1","尿検査は正常です","01.05.2010, 00:00:00.000"
"2","2","尿検査に異常が認められます","01.05.2010, 00:00:00.000"
"3","1","血糖検査は正常です","01.05.2010, 00:00:00.000"
"3","2","血糖検査に異常が認められます","01.05.2010, 00:00:00.000"
"4","1","脂質検査は正常です","01.05.2010, 00:00:00.000"
"4","2","脂質検査に異常が認められます","01.05.2010, 00:00:00.000"
"5","1","肝機能検査は正常です","01.05.2010, 00:00:00.000"
"5","2","肝機能検査に異常が認められます","01.05.2010, 00:00:00.000"
"6","1","異常認めず※今回健診の医師の総合判断は「異常なし」です","01.05.2010, 00:00:00.000"
"6","2","要観察※今回健診の医師の総合判断は「要観察」です","01.05.2010, 00:00:00.000"
"6","3","要指導※今回健診の医師の総合判断は「要指導」です","01.05.2010, 00:00:00.000"
"6","4","治療中※今回健診の医師の総合判断は「治療中」です","01.05.2010, 00:00:00.000"
"6","5","要医療※今回健診の医師の総合判断は「要医療」です","01.05.2010, 00:00:00.000"
"7","1","軽度異常","01.05.2010, 00:00:00.000"
"7","2","異常","01.05.2010, 00:00:00.000"
"7","3","要観察","01.05.2010, 00:00:00.000"
"7","4","要精密検査","01.05.2010, 00:00:00.000"
