"1", "01", "高血圧", "01.05.2010, 10:27:27.000"
"1", "02", "低血圧", "01.05.2010, 11:17:30.000"
"1", "03", "不整脈", "01.05.2010, 11:17:30.000"
"1", "04", "高脂質血症", "01.05.2010, 11:17:30.000"
"1", "05", "高尿酸血症", "01.05.2010, 11:17:30.000"
"1", "06", "腎不全以外の腎疾患", "01.05.2010, 11:17:30.000"
"1", "07", "糖尿病", "01.05.2010, 11:17:30.000"
"1", "08", "肝臓病", "01.05.2010, 11:17:30.000"
"1", "09", "胃・十二指腸潰瘍", "01.05.2010, 11:17:30.000"
"1", "10", "うつ", "01.05.2010, 11:17:30.000"
"1", "11", "骨粗鬆症", "01.05.2010, 11:17:30.000"
"2", "01", "胸部圧迫感", "01.05.2010, 00:00:00.000"
"2", "02", "心悸亢進・動悸", "01.05.2010, 00:00:00.000"
"2", "03", "息切れ", "01.05.2010, 00:00:00.000"
"2", "04", "不眠", "01.05.2010, 00:00:00.000"
"2", "05", "肩こり・腰痛", "01.05.2010, 00:00:00.000"
"2", "06", "手足のしびれ感", "01.05.2010, 00:00:00.000"
"2", "07", "目眩・立眩み", "01.05.2010, 00:00:00.000"
"2", "08", "頭痛・耳鳴り", "01.05.2010, 00:00:00.000"
"2", "09", "いつも調子が悪い", "01.05.2010, 00:00:00.000"
"2", "10", "腹が張っている", "01.05.2010, 00:00:00.000"
"2", "11", "下痢", "01.05.2010, 00:00:00.000"
"2", "12", "便秘", "01.05.2010, 00:00:00.000"
"2", "13", "下痢と便秘", "01.05.2010, 00:00:00.000"
"2", "14", "痔の傾向", "01.05.2010, 00:00:00.000"
"3", "01", "眼瞼結膜蒼白（＋）", "01.05.2010, 00:00:00.000"
"3", "02", "浮腫：眼瞼（＋）", "01.05.2010, 00:00:00.000"
"3", "03", "肝臓肥大（＋）", "01.05.2010, 00:00:00.000"
"3", "04", "浮腫：下腿（＋）", "01.05.2010, 00:00:00.000"
"3", "05", "心音不純", "01.05.2010, 00:00:00.000"
"3", "06", "不整脈あり", "01.05.2010, 00:00:00.000"
"4", "01", "異常Q波", "01.05.2010, 00:00:00.000"
"4", "02", "境界域Q波", "01.05.2010, 00:00:00.000"
"4", "03", "R波の増高不良", "01.05.2010, 00:00:00.000"
"4", "04", "", "01.05.2010, 00:00:00.000"
"4", "05", "左軸偏位", "01.05.2010, 00:00:00.000"
"4", "06", "", "01.05.2010, 00:00:00.000"
"4", "07", "軽度な左軸偏位", "01.05.2010, 00:00:00.000"
"4", "08", "高度な右軸偏位", "01.05.2010, 00:00:00.000"
"4", "09", "右軸偏位", "01.05.2010, 00:00:00.000"
"4", "10", "S1、S2、S3パターン", "01.05.2010, 00:00:00.000"
"4", "11", "高電位", "01.05.2010, 00:00:00.000"
"4", "12", "右室肥大", "01.05.2010, 00:00:00.000"
"4", "13", "左室肥大の疑い", "01.05.2010, 00:00:00.000"
"4", "14", "ST-T異常", "01.05.2010, 00:00:00.000"
"4", "15", "軽度S T-T異常", "01.05.2010, 00:00:00.000"
"4", "16", "ST低下", "01.05.2010, 00:00:00.000"
"4", "17", "軽度S T-T異常の疑い", "01.05.2010, 00:00:00.000"
"4", "18", "", "01.05.2010, 00:00:00.000"
"4", "19", "", "01.05.2010, 00:00:00.000"
"4", "20", "", "01.05.2010, 00:00:00.000"
"4", "21", "", "01.05.2010, 00:00:00.000"
"4", "22", "陰性T", "01.05.2010, 00:00:00.000"
"4", "23", "", "01.05.2010, 00:00:00.000"
"4", "24", "", "01.05.2010, 00:00:00.000"
"4", "25", "", "01.05.2010, 00:00:00.000"
"4", "26", "", "01.05.2010, 00:00:00.000"
"4", "27", "陽性T（V1）", "01.05.2010, 00:00:00.000"
"4", "28", "完全房室ブロック", "01.05.2010, 00:00:00.000"
"4", "29", "房室ブロックⅡ度(ﾓﾋﾞｯﾂ)", "01.05.2010, 00:00:00.000"
"4", "30", "房室ブロックⅡ度(2:1)", "01.05.2010, 00:00:00.000"
"4", "31", "房室ブロックⅡ度(ｳｴﾝｹﾊﾞｯﾊ)", "01.05.2010, 00:00:00.000"
"4", "32", "PR延長", "01.05.2010, 00:00:00.000"
"4", "33", "房室ブロックⅠ度", "01.05.2010, 00:00:00.000"
"4", "34", "WPW症候群", "01.05.2010, 00:00:00.000"
"4", "35", "WPW症候群の疑い", "01.05.2010, 00:00:00.000"
"4", "36", "PR短縮", "01.05.2010, 00:00:00.000"
"4", "37", "人工ペースメーカ調律", "01.05.2010, 00:00:00.000"
"4", "38", "完全左脚ブロック", "01.05.2010, 00:00:00.000"
"4", "39", "完全右脚ブロック", "01.05.2010, 00:00:00.000"
"4", "40", "不完全右脚ブロック", "01.05.2010, 00:00:00.000"
"4", "41", "心室内伝導障害", "01.05.2010, 00:00:00.000"
"4", "42", "RSR’パターン", "01.05.2010, 00:00:00.000"
"4", "43", "上室期外収縮", "01.05.2010, 00:00:00.000"
"4", "44", "心室期外収縮", "01.05.2010, 00:00:00.000"
"4", "45", "上室三段脈", "01.05.2010, 00:00:00.000"
"4", "46", "心室三段脈", "01.05.2010, 00:00:00.000"
"4", "47", "上室二段脈", "01.05.2010, 00:00:00.000"
"4", "48", "心室二段脈", "01.05.2010, 00:00:00.000"
"4", "49", "上室期外収縮（頻発）", "01.05.2010, 00:00:00.000"
"4", "50", "心室期外収縮（頻発）", "01.05.2010, 00:00:00.000"
"4", "51", "心室頻拍", "01.05.2010, 00:00:00.000"
"4", "52", "心室期外収縮ショートラン", "01.05.2010, 00:00:00.000"
"4", "53", "心室期外収縮二連発", "01.05.2010, 00:00:00.000"
"4", "54", "心房粗動", "01.05.2010, 00:00:00.000"
"4", "55", "心房細動", "01.05.2010, 00:00:00.000"
"4", "56", "上室頻拍", "01.05.2010, 00:00:00.000"
"4", "57", "上室期外収縮ショートラン", "01.05.2010, 00:00:00.000"
"4", "58", "上室期外収縮二連", "01.05.2010, 00:00:00.000"
"4", "59", "心室調律 ", "01.05.2010, 00:00:00.000"
"4", "60", "房室接合部調律 ", "01.05.2010, 00:00:00.000"
"4", "61", "左房調律の疑い ", "01.05.2010, 00:00:00.000"
"4", "62", "", "01.05.2010, 00:00:00.000"
"4", "63", "房室解離", "01.05.2010, 00:00:00.000"
"4", "64", "高度な頻脈", "01.05.2010, 00:00:00.000"
"4", "65", "頻脈 ", "01.05.2010, 00:00:00.000"
"4", "66", "洞頻脈", "01.05.2010, 00:00:00.000"
"4", "67", "高度な徐脈", "01.05.2010, 00:00:00.000"
"4", "68", "徐脈", "01.05.2010, 00:00:00.000"
"4", "69", "洞徐脈", "01.05.2010, 00:00:00.000"
"4", "70", "洞不整脈", "01.05.2010, 00:00:00.000"
"4", "71", "洞房ブロック", "01.05.2010, 00:00:00.000"
"4", "72", "補充収縮", "01.05.2010, 00:00:00.000"
"4", "73", "確定できない不整脈", "01.05.2010, 00:00:00.000"
"4", "74", "低電位差（四肢誘導）", "01.05.2010, 00:00:00.000"
"4", "75", "低電位差（胸部誘導）", "01.05.2010, 00:00:00.000"
"4", "76", "ST上昇", "01.05.2010, 00:00:00.000"
"4", "77", "", "01.05.2010, 00:00:00.000"
"4", "78", "軽度ST上昇", "01.05.2010, 00:00:00.000"
"4", "79", "右房拡大", "01.05.2010, 00:00:00.000"
"4", "80", "左房拡大", "01.05.2010, 00:00:00.000"
"4", "81", "反時計回転", "01.05.2010, 00:00:00.000"
"4", "82", "時計回転", "01.05.2010, 00:00:00.000"
"4", "83", "高いT波", "01.05.2010, 00:00:00.000"
"4", "84", "右胸心", "01.05.2010, 00:00:00.000"
"4", "85", "電極付け間違い", "01.05.2010, 00:00:00.000"
"4", "86", "QT延長", "01.05.2010, 00:00:00.000"
"4", "87", "QT短縮", "01.05.2010, 00:00:00.000"
"4", "88", "軽度なQ T延長", "01.05.2010, 00:00:00.000"
"4", "89", "記録不良", "01.05.2010, 00:00:00.000"
"4", "90", "", "01.05.2010, 00:00:00.000"
"4", "91", "", "01.05.2010, 00:00:00.000"
"4", "92", "その他の所見あり", "01.05.2010, 00:00:00.000"
